order_id,customer_name,date,gender,email,phone_number,category,price,quantity,customer_rating
ORD-00001,Mercedes Sim,6/3/2026,femal,mercedes.sim83@yahoo.com,(702) 995-8622,,9.38,2,2.5
ORD-00002,Aaron Portelli,6/3/2026,Male,aaron.portelli23@yahoo.com,(571) 960-4868,Home,465.25,4,4.2
ORD-00003,Dalia Dijoux,6/4/2026,Female,dalia.dijoux49@hotmail.com,(304) 839-3706,Toys,999999.99,7,3.6
ORD-00004,Leonie Ramdin,6/4/2026,Other,,(401) 512-4558,Grocery,483.37,4,2.9
ORD-00005,!!!,6/4/2026,Other,zahra.oliver91@outlook.com,(217) 946-9396,Beauty,free,5,3.7
ORD-00006,Oswald Johnson,6/4/2026,Other,oswald.johnson78@gmail.com,(915) 871-1145,Electronics,201.52,zero,4.2
ORD-00007,Kathleen Johnson,6/4/2026,Female,kathleen.johnson28@gmail.com,(484) 659-5062,Beauty,229.14,1,2.9
ORD-00008,Jackson Colley,,Male,jackson.colley37@hotmail.com,(954) 430-4048,Beauty,441.57,8,3
ORD-00009,Khalil O'Connor,not a date,Other,khalil.o'connor84@gmail.com,(907) 942-0251,Beauty,-19.99,9,1.1
ORD-00010,Isaiah Romero,6/5/2026,Male,isaiah.romero72@icloud.com,N/A,Beauty,480.87,4,4.4
ORD-00011,Tine Zahra,6/5/2026,Male,tine.zahra94@icloud.com,(571) 812-6063,misc,141.2,3,4.8
ORD-00012,Javkhlan Castro,6/5/2026,Other,javkhlan.castro86@gmail.com,(704) 761-1563,Grocery,999999.99,2,3.9
ORD-00013,Maktoum Balodis,6/5/2026,Other,maktoum.balodis46@icloud.com,(951) 458-3855,Beauty,256.12,6,4.8
ORD-00014,Eslam Didier,6/6/2026,Male,eslam.didier45@yahoo.com,(406) 512-6282,Grocery,365.6,6,1.6
ORD-00015,Adama Watson,,Female,adama.watson40@tuta.com,(718) 310-8406,,341.72,,1.1
ORD-00016,x,6/6/2026,Other,hyun-sik.kasmi76@icloud.com,(323) 974-0470,Clothing,387.4,10,3
ORD-00017,Telma Rivera,6/6/2026,Female,telma.rivera40@outlook.com,(315) 615-0520,Clothing,294.59,8,1.4
ORD-00018,Héctor Saeed,6/6/2026,Other,héctor.saeed67@gmail.com,(260) 794-3847,Electronics,297.16,6,3.9
ORD-00019,Tudor Mintogo,6/7/2026,Male,tudor.mintogo31@hotmail.com,,,91.52,5,2.4
ORD 000012,Heather Kusumawati,not a date,Female,heather.kusumawati78@gmail.com,,misc,300.35,4,4.2
ORD-00021,Ro-woon Ngong,31/02/2024,Male,ro-woon.ngong29@gmail.com,+,Beauty,249.96,4,1.2
ORD-00022,Siyuan Peterson,6/7/2026,Other,siyuan.peterson36@outlook.com,(330) 654-3962,Grocery,143.12,7,4.5
ORD-00023,Faith Wood,6/8/2026,Female,faith.wood73@protonmail.com,(602) 313-4760,Home,999999.99,9,1.5
